Date,Close,Open,High,Low,Vol.,Change %
17-02-2025,3904.5,3856.5,3934,3856.2,1.80M,-0.0077
14-02-2025,3934.85,3925,3948,3900,1.68M,0.0063
13-02-2025,3910.15,3968,3984.45,3902.25,2.28M,-0.0101
12/2/2025,3950.15,3971.1,4021.75,3940.15,1.68M,-0.0034
11/2/2025,3963.55,4018.4,4040,3955,1.81M,-0.0182
10/2/2025,4036.95,4040,4052,4014.35,1.34M,0.0019
7/2/2025,4029.4,4090,4090,4008,1.55M,-0.0131
6/2/2025,4082.75,4105.4,4139.5,4051.55,2.28M,-0.002
5/2/2025,4091.1,4150,4150,4076,1.69M,-0.0039
4/2/2025,4107.05,4083.7,4118.85,4066.05,2.55M,0.0094
3/2/2025,4068.65,4030.9,4077,3998.7,1.27M,-0.0011
1/2/2025,4073.15,4113,4135.9,4056,437.17K,-0.0095
31-01-2025,4112.4,4110,4128.45,4085.25,1.49M,0.003
30-01-2025,4100.05,4099.9,4129.9,4058.5,1.53M,0.0001
29-01-2025,4099.8,4054,4107.85,4054,1.22M,0.0147
28-01-2025,4040.3,4070.8,4102,4028.3,2.47M,-0.0061
27-01-2025,4065.15,4102,4156.35,4041.05,1.55M,-0.021
24-01-2025,4152.35,4104,4178,4104,1.91M,0.0017
23-01-2025,4145.45,4168,4191.35,4140.05,1.82M,-0.0027
22-01-2025,4156.6,4050,4163.15,4044.2,2.41M,0.0299
21-01-2025,4035.85,4095.3,4111,4030,1.97M,-0.0103
20-01-2025,4077.8,4145.8,4145.8,4068.1,1.29M,-0.0113
17-01-2025,4124.3,4159.9,4160.6,4100.05,1.76M,-0.0039
16-01-2025,4140.3,4193.16,4226.62,4126.08,2.64M,-0.0102
15-01-2025,4182.92,4151.82,4189.66,4141.43,1.65M,0.0039
14-01-2025,4166.63,4234.5,4246.21,4152.85,3.44M,-0.0135
13-01-2025,4223.77,4178.39,4255.12,4161.07,4.00M,0.006
10/1/2025,4198.72,4134.1,4229.58,4104.57,7.89M,0.0396
9/1/2025,4038.85,4101,4137.75,4025.3,2.39M,-0.0169
8/1/2025,4108.4,4034.9,4126,4017.75,2.18M,0.0199
7/1/2025,4028.3,4114.95,4140.35,4011.55,2.67M,-0.0163
6/1/2025,4095,4105.5,4149.65,4066.4,2.09M,-0.0012
3/1/2025,4099.9,4179.95,4179.95,4092.3,1.79M,-0.0182
2/1/2025,4175.75,4120,4183,4096.95,1.72M,0.0154
1/1/2025,4112.45,4094.4,4134,4085.45,763.16K,0.0043
31-12-2024,4094.8,4135,4139.95,4032.05,1.56M,-0.0154
30-12-2024,4158.8,4151,4199.3,4112,1.53M,-0.0015
27-12-2024,4164.85,4163,4180.95,4147.25,858.10K,-0.001
26-12-2024,4169.1,4179.5,4199.95,4143.15,1.21M,-0.0025
24-12-2024,4179.5,4158.3,4218,4158.3,1.18M,0.0051
23-12-2024,4158.3,4200.05,4217,4114.9,2.20M,-0.0029
20-12-2024,4170.3,4329,4382,4152.5,4.12M,-0.0238
19-12-2024,4271.9,4282,4364,4262,3.02M,-0.0175
18-12-2024,4347.85,4311.7,4362,4289.6,1.58M,0.0045
17-12-2024,4328.5,4410,4432.95,4318,3.23M,-0.0196
16-12-2024,4415.2,4459,4475,4397,1.65M,-0.0131
13-12-2024,4473.9,4434.95,4494.9,4394.4,1.97M,0.0043
12/12/2024,4454.95,4430.05,4485,4426,1.91M,0.0062
11/12/2024,4427.45,4431.85,4448.65,4407,1.64M,-0.0012
10/12/2024,4432.55,4426.15,4493.8,4412.1,2.09M,-0.0044
9/12/2024,4452.15,4430.45,4469.4,4415.55,2.07M,0.0015
6/12/2024,4445.5,4453,4465,4412.75,1.84M,-0.0042
5/12/2024,4464.05,4400.8,4489,4360,3.75M,0.0252
4/12/2024,4354.4,4313.55,4386.95,4289.05,3.30M,0.012
3/12/2024,4302.75,4314.35,4325,4265.45,2.01M,0.0061
2/12/2024,4276.65,4270,4288.2,4230.05,1.67M,0.0014
29-11-2024,4270.85,4220,4298.7,4195.65,2.02M,0.0061
28-11-2024,4244.9,4319,4339.95,4233,2.56M,-0.0202
27-11-2024,4332.55,4358.95,4377.4,4324.05,1.56M,-0.0046
26-11-2024,4352.7,4321.05,4366.6,4310,2.06M,0.0087
25-11-2024,4315.1,4280,4328.1,4252.2,4.05M,0.0166
22-11-2024,4244.6,4071,4254.95,4054,3.10M,0.0422
21-11-2024,4072.85,4044.9,4092.45,4024,2.38M,0.0082
19-11-2024,4039.55,4019.9,4132.15,4014.1,1.78M,0.005
18-11-2024,4019.5,4213,4213,3990.2,3.31M,-0.0305
14-11-2024,4145.9,4135,4160,4116.45,1.83M,-0.0011
13-11-2024,4150.35,4178.1,4196.75,4131.05,1.10M,-0.0112
12/11/2024,4197.4,4216,4218,4164.35,1.59M,-0.0003
11/11/2024,4198.7,4128.2,4234.3,4117.65,1.41M,0.0125
8/11/2024,4147,4155,4169.75,4117.65,1.65M,-0.0009
7/11/2024,4150.9,4169.7,4205.8,4085.05,3.72M,0.0027
6/11/2024,4139.65,4003.6,4149.8,3975.25,3.79M,0.0424
5/11/2024,3971.35,3941.1,3986,3941.1,967.59K,0.0018
4/11/2024,3964.15,3966.3,3991.9,3913.25,2.27M,-0.005
1/11/2024,3984.2,3989.85,3998.95,3976.05,154.90K,0.004
31-10-2024,3968.45,4070,4078.3,3960,3.74M,-0.0284
30-10-2024,4084.65,4075,4107,4060.05,1.94M,0.0023
29-10-2024,4075.25,4095.85,4103.5,4060.1,1.45M,-0.0038
28-10-2024,4090.85,4068.95,4134,4051,1.53M,0.0082
25-10-2024,4057.55,4057.05,4092,4032.7,1.76M,0.0024
24-10-2024,4047.9,4004,4079,4004,2.68M,-0.0045
23-10-2024,4066.25,3999.6,4113.55,3995.15,1.97M,0.0126
22-10-2024,4015.5,4066,4089.8,4006.35,1.93M,-0.0158
21-10-2024,4079.85,4132.6,4139.95,4070,1.60M,-0.0105
18-10-2024,4123.05,4090,4146.15,4080,2.36M,0.0034
17-10-2024,4109,4112.8,4129.95,4092.95,2.52M,0.0034
16-10-2024,4094.95,4085,4115,4067.2,2.36M,-0.0053
15-10-2024,4116.8,4131.05,4169.95,4095,2.76M,-0.0048
14-10-2024,4136.65,4140,4165.4,4122.2,2.14M,-0.003
11/10/2024,4149.2,4143,4241.95,4112.45,5.76M,-0.0185
